Vivado Simulator 2019.1
Time resolution is 1 ps
Block Memory Generator module testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_3 collision detected at time: 39215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 39295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 39375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 20, B read address: 20
blk_mem_gen_v8_4_3 collision detected at time: 39535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 21, B read address: 21
blk_mem_gen_v8_4_3 collision detected at time: 42815000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_3 collision detected at time: 51215000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51295000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51375000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51455000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51535000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51615000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51695000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51775000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51855000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 51935000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52015000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52095000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52175000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52255000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_3 collision detected at time: 52335000, Instance: testbench.u_Top.u_blk_mem_gen_0.inst.native_mem_module.blk_mem_gen_v8_4_3_inst, A write address: a, B read address: a
